No.,productname,unit,quantity,price,total,orderdate,customername,customercontactname,customeraddress,customercity,customerpostalcode,customercountry,shippername,shipperphone,suppliername,suppliercontactname,supplieraddress,suppliercity,supplierpostalcode,suppliercountry,supplierphone,categoryname,categorydescription
474,Scottish Longbreads,10 boxes x 8 pieces,30,12.5,375,1/23/1997,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
475,Pâté chinois,24 boxes x 2 pies,10,24,240,1/24/1997,La maison d'Asie,Annette Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France,United Package,(503) 555-3199,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
476,Lakkalikoori,500 ml,20,18,360,1/24/1997,La maison d'Asie,Annette Roulet,1 rue Alsace-Lorraine,Toulouse,31000,France,United Package,(503) 555-3199,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Beverages,"Soft drinks, coffees, teas, beers, and ales"
477,Gnocchi di nonna Alice,24 - 250 g pkgs.,5,38,190,1/27/1997,Galería del gastrónomo,Eduardo Saavedra,"Rambla de Cataluña, 23",Barcelona,8022,Spain,Speedy Express,(503) 555-9831,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
478,Wimmers gute Semmelknodel,20 bags x 4 pieces,7,33.25,232.75,1/27/1997,Galería del gastrónomo,Eduardo Saavedra,"Rambla de Cataluña, 23",Barcelona,8022,Spain,Speedy Express,(503) 555-9831,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Grains/Cereals,"Breads, crackers, pasta, and cereal"
479,Spegesild,4 - 450 g glasses,20,12,240,1/28/1997,Reggiani Caseifici,Maurizio Moroni,Strada Provinciale 124,Reggio Emilia,42100,Italy,Speedy Express,(503) 555-9831,Lyngbysild,Niels Petersen,Lyngbysild Fiskebakken 10,Lyngby,2800,Denmark,43844108,Seafood,Seaweed and fish
480,Valkoinen suklaa,12 - 100 g bars,40,16.25,650,1/29/1997,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,United Package,(503) 555-3199,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Confections,"Desserts, candies, and sweet breads"
481,Vegie-spread,15 - 625 g jars,35,43.9,1536.5,1/29/1997,Hungry Owl All-Night Grocers,Patricia McKenna,8 Johnstown Road,Cork,,Ireland,United Package,(503) 555-3199,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
482,Alice Mutton,20 - 1 kg tins,45,39,1755,1/30/1997,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Meat/Poultry,Prepared meats
483,Sir Rodney's Scones,24 pkgs. x 4 pieces,50,10,500,1/30/1997,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
484,Gnocchi di nonna Alice,24 - 250 g pkgs.,30,38,1140,1/30/1997,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
485,Raclette Courdavault,5 kg pkg.,70,55,3850,1/30/1997,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,Speedy Express,(503) 555-9831,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06,Dairy Products,Cheeses
486,Alice Mutton,20 - 1 kg tins,50,39,1950,1/30/1997,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,United Package,(503) 555-3199,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Meat/Poultry,Prepared meats
487,Boston Crab Meat,24 - 4 oz tins,50,18.4,920,1/30/1997,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,United Package,(503) 555-3199,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,2134,USA,(617) 555-3267,Seafood,Seaweed and fish
488,Zaanse koeken,10 - 4 oz boxes,30,9.5,285,1/30/1997,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,United Package,(503) 555-3199,Zaanse Snoepfabriek,Dirk Luchte,Verkoop Rijnweg 22,Zaandam,9999 ZZ,Netherlands,(12345) 1212,Confections,"Desserts, candies, and sweet breads"
489,Gumbar Gummibarchen,100 - 250 g bags,10,31.23,312.3,1/31/1997,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,United Package,(503) 555-3199,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
490,Tourtière,16 pies,40,7.45,298,1/31/1997,Split Rail Beer & Ale,Art Braunschweiger,P.O. Box 555,Lander,82520,USA,United Package,(503) 555-3199,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
491,Gnocchi di nonna Alice,24 - 250 g pkgs.,28,38,1064,2/3/1997,Princesa Isabel Vinhoss,Isabel de Castro,Estrada da saúde n. 58,Lisboa,1756,Portugal,Federal Shipping,(503) 555-9931,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
492,Queso Cabrales,1 kg pkg.,6,21,126,2/3/1997,Folk och fä HB,Maria Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden,United Package,(503) 555-3199,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Calle del Rosal 4,Oviedo,33007,Spain,(98) 598 76 54,Dairy Products,Cheeses
493,Lakkalikoori,500 ml,18,18,324,2/3/1997,Folk och fä HB,Maria Larsson,Åkergatan 24,Bräcke,S-844 67,Sweden,United Package,(503) 555-3199,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956,Beverages,"Soft drinks, coffees, teas, beers, and ales"
494,Chang,24 - 12 oz bottles,10,19,190,2/4/1997,Consolidated Holdings,Elizabeth Brown,Berkeley Gardens 12 Brewery,London,WX1 6LT,UK,United Package,(503) 555-3199,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
495,Gustaf's Knackebrod,24 - 500 g pkgs.,12,21,252,2/4/1997,Consolidated Holdings,Elizabeth Brown,Berkeley Gardens 12 Brewery,London,WX1 6LT,UK,United Package,(503) 555-3199,PB Knäckebröd AB,Lars Peterson,Kaloadagatan 13,Göteborg,S-345 67,Sweden,031-987 65 43,Grains/Cereals,"Breads, crackers, pasta, and cereal"
496,Mozzarella di Giovanni,24 - 200 g pkgs.,10,34.8,348,2/4/1997,Consolidated Holdings,Elizabeth Brown,Berkeley Gardens 12 Brewery,London,WX1 6LT,UK,United Package,(503) 555-3199,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323,Dairy Products,Cheeses
497,Spegesild,4 - 450 g glasses,5,12,60,2/5/1997,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,United Package,(503) 555-3199,Lyngbysild,Niels Petersen,Lyngbysild Fiskebakken 10,Lyngby,2800,Denmark,43844108,Seafood,Seaweed and fish
498,Gnocchi di nonna Alice,24 - 250 g pkgs.,40,38,1520,2/5/1997,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,United Package,(503) 555-3199,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
499,Wimmers gute Semmelknodel,20 bags x 4 pieces,30,33.25,997.5,2/5/1997,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Grains/Cereals,"Breads, crackers, pasta, and cereal"
500,Rhonbrau Klosterbier,24 - 0.5 l bottles,24,7.75,186,2/5/1997,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Beverages,"Soft drinks, coffees, teas, beers, and ales"
501,Perth Pasties,48 pieces,15,32.8,492,2/5/1997,Wartian Herkku,Pirkko Koskitalo,Torikatu 38,Oulu,90110,Finland,Speedy Express,(503) 555-9831,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914,Meat/Poultry,Prepared meats
502,Teatime Chocolate Biscuits,10 boxes x 12 pieces,15,9.2,138,2/6/1997,Toms Spezialitäten,Karin Josephs,Luisenstr. 48,Münster,44087,Germany,United Package,(503) 555-3199,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448,Confections,"Desserts, candies, and sweet breads"
503,Sasquatch Ale,24 - 12 oz bottles,20,14,280,2/6/1997,Toms Spezialitäten,Karin Josephs,Luisenstr. 48,Münster,44087,Germany,United Package,(503) 555-3199,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931,Beverages,"Soft drinks, coffees, teas, beers, and ales"
504,Ravioli Angelo,24 - 250 g pkgs.,15,19.5,292.5,2/6/1997,Toms Spezialitäten,Karin Josephs,Luisenstr. 48,Münster,44087,Germany,United Package,(503) 555-3199,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665,Grains/Cereals,"Breads, crackers, pasta, and cereal"
505,Queso Manchego La Pastora,10 - 500 g pkgs.,15,38,570,2/7/1997,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,Federal Shipping,(503) 555-9931,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Calle del Rosal 4,Oviedo,33007,Spain,(98) 598 76 54,Dairy Products,Cheeses
506,Pavlova,32 - 500 g boxes,16,17.45,279.2,2/7/1997,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,Federal Shipping,(503) 555-9931,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Confections,"Desserts, candies, and sweet breads"
507,Wimmers gute Semmelknodel,20 bags x 4 pieces,6,33.25,199.5,2/7/1997,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,Federal Shipping,(503) 555-9931,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Grains/Cereals,"Breads, crackers, pasta, and cereal"
508,Longlife Tofu,5 kg pkg.,30,10,300,2/7/1997,Mère Paillarde,Jean Fresnière,43 rue St. Laurent,Montréal,H1J 1C3,Canada,Federal Shipping,(503) 555-9931,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011,Produce,Dried fruit and bean curd
509,Chang,24 - 12 oz bottles,45,19,855,2/10/1997,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,United Package,(503) 555-3199,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222,Beverages,"Soft drinks, coffees, teas, beers, and ales"
510,Pavlova,32 - 500 g boxes,49,17.45,855.05,2/10/1997,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,United Package,(503) 555-3199,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343,Confections,"Desserts, candies, and sweet breads"
511,Thuringer Rostbratwurst,50 bags x 30 sausgs.,24,123.79,2970.96,2/10/1997,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,United Package,(503) 555-3199,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Meat/Poultry,Prepared meats
512,Sirop d'erable,24 - 500 ml bottles,90,28.5,2565,2/10/1997,Save-a-lot Markets,Jose Pavarotti,187 Suffolk Ln.,Boise,83720,USA,United Package,(503) 555-3199,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
513,Schoggi Schokolade,100 - 100 g pieces,50,43.9,2195,2/10/1997,Old World Delicatessen,Rene Phillips,2743 Bering St.,Anchorage,99508,USA,United Package,(503) 555-3199,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510,Confections,"Desserts, candies, and sweet breads"
514,Queso Cabrales,1 kg pkg.,30,21,630,2/11/1997,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,United Package,(503) 555-3199,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Calle del Rosal 4,Oviedo,33007,Spain,(98) 598 76 54,Dairy Products,Cheeses
515,Tourtière,16 pies,80,7.45,596,2/11/1997,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,United Package,(503) 555-3199,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022,Meat/Poultry,Prepared meats
516,Louisiana Hot Spiced Okra,24 - 8 oz jars,60,17,1020,2/11/1997,Ernst Handel,Roland Mendel,Kirchgasse 6,Graz,8010,Austria,United Package,(503) 555-3199,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings"
517,Queso Cabrales,1 kg pkg.,6,21,126,2/12/1997,Reggiani Caseifici,Maurizio Moroni,Strada Provinciale 124,Reggio Emilia,42100,Italy,Speedy Express,(503) 555-9831,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Calle del Rosal 4,Oviedo,33007,Spain,(98) 598 76 54,Dairy Products,Cheeses
518,Rossle Sauerkraut,25 - 825 g cans,12,45.6,547.2,2/12/1997,Reggiani Caseifici,Maurizio Moroni,Strada Provinciale 124,Reggio Emilia,42100,Italy,Speedy Express,(503) 555-9831,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755,Produce,Dried fruit and bean curd
